[23:58:11] [INIT] KubeJS 2001.6.5-build.16; MC 2001 forge
[23:58:11] [INIT] Loaded plugins:
[23:58:11] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgePlugin
[23:58:11] [INIT] - dev.latvian.mods.kubejs.forge.BuiltinKubeJSForgeClientPlugin
[23:58:11] [INIT] - net.threetag.palladium.compat.kubejs.PalladiumKubeJSPlugin
[23:58:11] [INIT] - pie.ilikepiefoo.kubejsoffline.OfflinePlugin
[23:58:11] [INIT] - com.almostreliable.lootjs.kube.LootJSPlugin
[23:58:11] [INIT] - com.probejs.ProbeJSPlugin
[23:58:11] [INIT] - org.mesdag.geckojs.GeckoJSPlugin
[23:58:11] [INIT] - net.liopyu.entityjs.EntityJSPlugin
[23:58:11] [INIT] - com.chen1335.renderjs.kubejs.RenderJSPlugin
[23:58:11] [INFO] example.js#5: Hello, World! (Loaded server scripts)
[23:58:11] [INFO] Loaded script server_scripts:example.js in 0.001 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/zombie_symbiote.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/sync_rgb.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/sync_first_person.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_spawn.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiote_assigner.js in 0.001 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/symbiotes_items.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/super_soldier.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/strong_punch.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/speedforce_trail_changer.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/speedforce_assigner.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/skin_change.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/skeletons.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/scoreboard_loader.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/receive_power_selected.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/reality_portal_logic.js in 0.0 s
[23:58:11] [INFO] addonpack_fsang_hero:kubejs_scripts/random_power.js#1: Loaded Java class 'net.threetag.palladium.power.SuperpowerUtil'
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/random_power.js in 0.001 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/radioactive_fluid.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/radiant_black_robot_spawn.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/radiant_black.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/properties.js in 0.001 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/projectile_damager.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/potion_punch.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/player_coords.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/player_attacking_tag.js in 0.0 s
[23:58:11] [INFO] Loaded script addonpack_fsang_hero:kubejs_scripts/mutation_assigner.js in 0.001 s
